startX,bin,pins
967.5,bin6,'pinR1C10|pinR2C9|pinR2C10|pinR3C10|pinR6C8|pinR5C8|pinR6C8|pinR8C7|pinR9C7|pinR8C6|pinR9C6|pinR9C6|pinR9C6|pinR10C6|pinSep5|sep|pinSep5|'
356.5,bin5,'pinR2C3|pinR3C5|pinR4C4|pinR5C5|pinR5C6|pinR6C5|pinR9C7|pinR8C6|pinR9C7|pinR10C6|'
262.5,bin5,'pinR2C2|pinR3C3|pinR2C2|pinR3C3|pinR4C2|pinR7C4|pinR7C5|pinR8C5|pinR10C5|pinR11C4|sep|'
203.5,bin6,'pinR1C2|pinR1C3|pinR2C2|pinR3C2|pinR3C1|pinR4C1|pinR6C2|pinR9C4|pinR8C4|pinR10C4|pinR9C5|pinR11C5|pinR11C6|pinSep5|sep|'
903.5,bin7,'pinR1C9|pinR1C10|pinR2C9|pinR3C10|pinR3C10|pinR4C10|pinR6C9|pinR7C9|pinR6C8|pinR8C9|pinR7C9|pinR9C9|'
92.5,bin1,'pinR1C1|pinR1C1|wall|pinR3C1|pinR4C1|pinR4C2|pinR6C1|pinR6C2|pinR7C2|pinR7C2|pinR8C2|pinR10C1|wallsep|pinR11C1|wallsep|pinR11C1|wallsep|'
943.5,bin8,'pinR2C9|pinR1C10|pinR2C9|pinR3C10|pinR5C9|pinR4C8|pinR6C8|pinR8C7|pinR8C6|pinR8C6|pinR9C7|pinR9C6|pinR10C6|'
814.5,bin8,'sep|'
197.5,bin2,'pinR1C2|pinR1C3|pinR2C2|pinR5C1|wall|pinR6C1|pinR6C1|pinR7C1|pinR7C1|pinR8C1|wall|leftwall|'
1094.5,bin11,'pinR1C11|rightwall|pinR3C11|wall|wall|pinR5C11|pinR5C10|pinR6C10|pinR7C11|pinR7C11|wall|pinR10C10|pinR9C10|pinR11C10|wallsep|'
949.5,bin9,'pinR2C9|pinR1C10|pinR2C10|pinR3C10|pinR5C11|rightwall|pinR7C11|pinR10C9|pinSep7|pinSep9|sep|sep|pinSep8|'
